Year,BFS,BML,BMS,CEP,FBP,FDB,FDC,FDD,FDE,FDF,FDO,FDS,FMM,FPL,FPS,FVB,FVD,FVS,PWN,SHB,SHD,SSK
1964,55986.0825116596,2163574.52636263,NA,5418263.25960641,6583651.85244923,24358945.4690336,175442920.529182,15609445.9993057,2943796.90041458,25709541.9800492,264529325.014187,79101142.507347,NA,91972.5394179182,810057.170235809,36753928.3349394,17812562.9834381,75785.7233754579,3622.8361,148657548.786842,449187.565855769,61816846.1266779
1965,125297.440542011,3719911.06063397,NA,4368036.77207444,6267459.88336125,22866551.9879987,198190783.443874,12123771.0949499,12860791.5573631,24618923.3361353,296929081.801742,78079774.6847166,842.5892638889,527381.632904029,3488872.2545745,37234658.0296154,13753441.7802081,NA,244040.376279293,125287699.956287,20040.5241527778,73405038.899329
1966,230742.281152515,4429954.75322368,NA,2475994.50974078,1683855.7420294,10293719.6923842,199031274.930235,31393380.2956784,1468245.74117364,19979837.8277152,133527146.03784,100110800.358525,NA,242577.338787771,3022925.58514972,50410462.9565128,20179011.8528137,126410.7196875,1060508.15498194,92727224.652816,11397.7813912037,112502116.161164
1967,336259.615814982,5045846.10807779,NA,19780778.1527794,8251937.77082601,12946331.0960391,252889504.354671,7046509.44091266,3214247.70848386,33654224.7807745,102278855.950203,53398543.3560929,23449.5867222222,1635382.64359838,1655062.27073429,33595132.9383853,11737428.9178986,381229.905881696,7099806.43022421,201814484.87777,12385838.4740564,49177134.8193455
1968,168513.088491309,3468628.52879572,NA,22098322.3908884,19882958.5171781,13297534.1626537,150792099.385963,8063820.33025706,4485270.52716138,40064304.9379616,81549974.9143628,60746400.963262,1250.4858333333,9410546.50880785,8079809.17562212,35724169.4432651,9575407.18571101,28425.0045984848,10536021.8107879,146957436.232451,3008102.74885379,49703111.965754
1969,85096.6689337007,4087847.80377304,NA,21898505.3881213,16432893.1814609,9797734.98266106,190511053.450062,9306213.64651694,4063826.97974965,35648063.9212629,63809148.4238157,60882478.1992893,217099.227402778,6330324.00915533,4440403.43935859,34311626.2769131,22636871.3847497,666534.639419841,6712731.823116,157864223.439672,2020430.31609466,72791369.1374466
1970,76317.8635589249,2838554.96485351,NA,10796477.5387262,9577176.09926834,16587710.8524356,177994295.603375,9700399.87624229,5201075.47288588,30847494.644846,62984960.6983899,62444797.3766676,1045.048875,4715687.46981558,1894653.38460108,33733474.9853684,32713997.1107007,113302.948541667,3806749.16652278,115201443.972692,607603.424558796,65496331.9203166
1971,71041.8785513689,3361063.51764114,NA,12555088.8672252,14343571.7814975,12671230.8376713,195714962.524649,7881864.31877255,3689556.47896909,23261578.2298285,51674906.1315129,62347129.4606982,6847.8986111111,6335053.05793292,1520884.41074946,22867897.8116293,22802270.0338027,1299339.99349238,3539332.41497533,117784657.462349,2863159.81506238,67320073.3681482
1972,335498.667199567,3864212.72178228,NA,30102080.0225822,53145357.2863915,16765851.2950485,253121636.655743,21070618.6194369,2229040.68784577,43434830.5617766,43444136.2656047,77242190.3293627,108765.471375,3328379.43976096,772127.551572089,38322108.7107386,33018817.9168325,2621620.01102647,3365286.9387042,246627799.456699,9303363.06814459,111365260.281463
1973,1410482.15464614,2740030.21145339,NA,31013524.0255979,23026183.4317406,22503451.0050075,334026157.76835,14508797.5765693,8672405.01475801,15396460.3873682,57400757.3544314,133546489.181407,NA,42627103.970831,3883778.94310212,43506962.1738632,32219238.8879495,1762655.46930988,2244656.11622457,266017240.624305,16281632.4780438,103764818.74771
1974,691477.469154628,2919456.4225497,NA,33437786.2824122,13510604.4979249,17260679.6192828,174244670.130519,8397147.74234891,5514322.17671991,8074666.80075015,47501749.4055936,65936279.9233654,4805.4384166667,4267392.39692853,2333328.21660661,35331385.3381841,30390628.9094474,4319474.61523976,2352009.9307999,208728877.507186,46483523.6223305,70565960.3983209
1975,1053296.2919933,2449128.98999721,NA,39638599.6083446,13055691.7993797,32775750.1087033,216395940.213739,9083725.28566487,2829233.52126187,4047472.57813351,62609231.6474215,58970863.5179863,10374.5663958333,850625.749093728,1045124.84356848,31140724.5764521,23301660.2820384,4508687.53370058,4502137.48819173,189107434.524104,29223576.8751076,65816408.8722593
1976,1248725.99036787,2889252.49126709,NA,61198252.639267,25215458.1451146,44884390.5021462,253072628.980994,11922718.2269157,4484988.59131467,5355269.43051297,115022279.014182,48458100.2485007,5942.04071875,2399745.40692986,1173581.9478549,49890119.1703142,37057935.2100743,3078089.62772752,1697224.62160261,170342671.468253,18779807.2234337,60706156.2611119
1977,1004799.33657687,5203493.91844579,NA,45623384.8031018,24445326.8739243,24869870.5734368,193988309.861858,14686613.4090279,4022678.98285151,6053390.85352245,114813182.616338,55434255.0096646,NA,844201.749336319,1131566.95929288,48028786.6355537,31891629.4831951,2965577.36313685,1393135.23924242,175610703.56484,15620929.1780533,68682839.8023137
1978,414323.386520444,4201206.26464103,1568.2145872863,31684382.1030868,26205307.2112386,28923050.9992452,213686463.190786,14847621.6992792,5264298.10026679,6496777.35851295,126888031.71339,70947961.7361737,29449.9338240741,2516269.83962263,1873609.92269115,53279507.6782943,29481316.4764635,3076685.08996956,1900941.6833554,593633351.468445,8146789.24920517,88697742.0241501
1979,324324.117959462,3253399.99582251,NA,46130629.6986974,58169269.7088195,17576708.186903,176403939.578892,14197224.249654,6038012.97438235,7165592.55812354,97877289.9933655,56799026.4166557,1004.8546875,956431.391335396,1956711.47333546,45880590.6480654,20394466.2115751,3712272.57906364,2962655.70576064,220042673.808006,17207338.4596924,75310032.205537
1980,379960.849180833,4165311.2754594,7879.1124882395,37463751.7931507,42589625.9335383,20907490.1602358,181348766.970317,11116405.264977,5719346.85433185,10547817.3891959,90818732.1267077,54051464.3072093,6668.6623083333,2710971.5207735,2331791.91477459,54791833.3995339,37713749.7041315,3522209.16941461,2657946.73553389,215152721.821235,12174169.4898485,76085275.7260064
1981,1073585.28218418,3653987.36461496,47067.7125639881,49540507.7585379,47208292.6100984,15596472.6367491,196420687.258297,12158031.0735019,4088818.62453172,9940483.45445384,88194984.1514224,61852440.1609813,22795.3146701389,9126532.56625809,2176909.9072121,62792322.6296263,37697108.4781472,3950006.23155749,7123241.52239134,328416229.766896,12493496.4060474,94476677.9198279
1982,310613.054946352,3541387.12408073,NA,23557003.0941684,27861458.9990631,15104634.0092556,137932948.80942,11152897.6580872,3458068.050018,14472830.7414392,47875284.972999,103427910.52432,63577.3953292411,2996390.66159504,366030.911470667,40756840.2463109,14320814.7349328,3396559.92285476,1506325.13502445,408198948.892102,16799547.2954286,117680657.403085
1983,282780.429086878,3028446.02474291,337.1845729167,35843197.6305794,48639495.4012545,18445881.8561503,134606446.280424,9270566.17710109,2340871.18700929,11911191.3876566,44812859.4247703,49064872.8681403,18581.77288125,817638.945299306,826789.870150773,56416258.9731896,16887238.7575134,2679474.98909187,3098154.80895751,266015552.124413,9195214.00607155,159242561.932229
1984,166421.378409127,3775534.65765792,NA,37129794.6799454,36053834.2088019,11959950.3962101,110330790.654197,8353355.90164896,5444293.91225069,4278002.56554275,36375076.1214088,48602854.2978795,3479.0302291667,5875270.88235627,1389885.14425352,39921196.3239001,15762610.0961373,3461022.26393666,4466051.21709729,278989672.514633,16109814.4804815,140450722.688535
1985,315782.174221097,7587803.26577368,5052.5920696023,29070348.4868324,37915402.4193431,24060151.6497319,172223900.852407,7616879.45000525,3705936.91349424,2815186.72654993,36424209.4197159,43950229.929969,45617.776044691,7266875.59316628,3586082.89365324,37751516.1815055,18865126.5369389,3036007.79677044,2141683.49453341,623747665.538608,19561430.8801556,170328740.884002
1986,1043176.29419237,4737530.37009341,468.9321875,23190868.8836405,25463513.6038035,25871203.0153969,103703366.100958,7681731.81974448,4307603.84601736,2638348.58025747,25532386.2258362,29719498.0776305,10750.7542173611,2751516.61196921,10601828.4164473,23075326.8033725,22251466.3135836,4637453.90706379,4554638.25640332,261579795.265023,8475831.99575979,129083178.036233
1987,469689.037957936,3973812.30739342,NA,14320694.6589799,11247413.8078814,24318729.0305637,119023665.472963,5219894.78791514,5151321.21294555,1806339.78405976,20672911.4504448,21799208.4329405,933.3983541667,15429811.3229698,9889358.29924106,23440639.5376505,19236884.8295531,3209945.51748729,3514003.49717851,432280450.93905,8435315.6451125,114230268.716116
1988,1320514.71238393,4407869.57255965,NA,32849112.3325642,20672136.6640888,13828008.9795259,91218180.4249758,6296419.2833836,4729374.20946605,1575106.88647694,13785721.1686242,28641208.6860542,4756.3121875,8915170.42497766,12677307.8635736,20926395.5971134,16417386.2476152,1571268.74683735,4206897.94006297,444959701.528737,8472611.55135911,111255625.719203
1989,805650.610312718,4534386.9939348,3824.4025069445,37226852.3733983,34155974.5954208,22360077.4135708,82892441.3147768,5254623.15908662,2037503.01201758,4095016.13522407,12061148.2338595,20912730.3304019,11679.3888159722,2235336.94768626,9863938.66489273,17843536.5546873,15050389.5775417,3390430.60699573,5348813.96818962,275317618.219255,9261164.92311181,120794565.889987
1990,1350672.61067248,4431244.62818093,NA,27478185.9154059,22335494.3706646,26607338.7117747,81805432.209695,4809273.3488129,1512862.09736486,5993049.73292505,10426822.0011812,26253779.4796617,21923.6962708333,5785578.69535706,6648051.84840863,19901300.4731285,35524760.6088136,2467314.6130717,4454437.83327085,555281632.33262,10080740.3988447,96256088.5610787
1991,533143.377421359,4535709.90019485,NA,27683110.9874847,15320176.4819192,18456584.1747408,85101541.1962903,5995243.91453512,2983158.25728841,3717069.61276887,18212198.4934801,15800940.0704016,5779.0309583333,14292275.4521614,23508931.8685583,17430247.6549242,23604280.7146304,1175994.81403252,1304854.48864959,482668206.631643,5875477.01757341,99055978.5100712
1992,579977.293297487,4070689.85396455,1882.8743833333,16215341.2364916,12907344.1076192,24150490.2416882,115808720.109892,8186503.62605751,3642590.71731539,8276811.34051598,10926464.6584126,20868412.1304519,70112.0610625,22458635.4882777,28007593.6929483,32195435.5929673,22364256.3386476,1861070.26261141,1089127.32097741,735660309.221105,8296515.85515427,162307078.435043
1993,526785.675429714,3765819.09353425,NA,20174776.5798311,18696470.4301816,18502162.2538335,108429427.274104,9329281.42373814,2550133.34092997,2520177.42358755,8708217.24903604,14425612.0583927,3510.292375,15230560.1264426,29977186.0160195,30681298.0014106,20165644.7865159,1570676.86489044,1469141.39159979,655202892.901169,7698175.60193571,128195312.836164
1994,813437.977259208,4160454.64102528,NA,28963552.2170232,28920796.2772378,18638436.9153805,75704851.9302056,6000847.91868588,3141500.15723942,4684031.59687036,14537848.0473332,12949372.0438094,501.9807416667,9176301.3529565,14800840.1254743,33319517.6576701,15247122.8023406,2672393.09998922,2436802.41403829,575249321.955204,28973731.8063815,92232945.5955249
1995,712404.630901135,4085645.83552925,18679.1321354167,15441523.256757,25304273.2904502,21899324.7232642,96026529.8344906,9004469.47196297,5858417.20665133,6107779.18354626,30003132.5032964,19888353.4113106,14315.0854444444,39073394.8741148,40952484.9096659,36816684.355284,14921191.0740714,2107916.01243412,7219106.41744507,604790747.558679,12924561.8124494,159249589.75693
1996,585419.420332667,7429788.77640206,16746.1745184524,11611423.6051614,28548943.0890381,24359361.1801142,106039155.436163,8963194.92900989,4239799.34930716,6605104.95335787,29358035.9528694,16400532.0735677,12007.2160119048,24299980.7985721,25489064.5139546,43613831.5329054,11149169.8960442,1168145.27153511,3456952.24714449,577335616.115203,9187107.11799427,158084652.980739
1997,553510.858188877,6560008.96738844,12147.2044982639,16424704.5426442,15405718.8074583,11210870.9450272,117347414.632336,7776640.54082328,5787724.87270362,11508269.2081417,26533783.7922922,14096128.2886284,48398.4804384921,13069491.8815825,30251760.3127476,37404993.5992177,6675774.7596904,1507145.49435974,3130975.76986357,501501633.706765,21156570.231356,114516798.903818
1998,1767559.52123549,5763993.99563658,21201.9683673262,12365117.5302106,20017660.0102703,27550006.2073221,103340012.144179,5641374.9106254,6115919.48961999,10233118.6146555,12500022.2879591,17449194.0687759,14058.1829126984,9937067.3576153,21328188.8117654,39999097.9245655,6114430.36314772,1533941.75335064,7080446.56797834,509883690.850166,13861378.6127149,148993442.201093
1999,1932487.88890901,7420526.30779709,23643.2650923701,23377478.1406928,17476121.8948247,23571523.1097286,141492600.283297,7785815.0265055,4618505.48697429,17421168.2372778,43528693.9959168,16411755.0411216,47848.9472083333,11725243.6611475,30627224.5447428,48230148.1945778,7863633.02554584,4654300.52194324,4513072.00683586,604376527.170558,14857654.7483841,167678058.774364
2000,2255097.52782784,9157357.8373131,50428.0906729933,32647905.6941299,25906943.8273463,31337005.2526865,173967861.836628,10623613.0731091,4055699.92074423,11500081.9227592,46242795.4892852,18061937.8799375,6349.2992852183,13406811.4815974,17588212.6440943,55550911.1993317,11762700.2082224,1443876.7642532,4528935.97038868,424369571.990469,20025654.6743002,151917138.144685
2001,3640162.69858248,6559745.06739048,170403.314045679,18090639.4014981,18653508.7839649,29209006.8804065,160958124.345523,13472678.1584524,4233880.06252588,30251001.8550363,39623340.5651129,22415565.7001891,16134.5778297211,30808285.3456922,24126987.1550896,70488496.587637,15444357.3722337,1500694.9795359,921939.253104305,459421209.024716,26791669.0117593,154427084.587606
2002,4307581.80583696,10721329.8662369,353201.189319598,35311176.9740246,23035030.6303992,17723267.9783637,237038581.107213,14724848.3131063,5094168.17846255,10589294.9377465,60316612.7924058,39061882.5858031,8926.6802086563,16085480.0573967,36589409.3602944,66094965.5661707,15256575.1660816,2189322.49230545,1495874.74195401,666956653.881513,25187726.3487565,192778537.543472
2003,1652179.22921822,10013660.5156572,48255.435357461,18277990.4699252,13837402.8157847,16236144.8894309,207596455.520391,13205645.7611363,2464636.46568879,7371221.52602938,45685632.1875516,19663314.4426821,3735.4751710003,33084557.0241958,21870901.7720196,54753724.5002338,12600042.8243334,1922088.75900769,1673738.2108361,411192619.893411,79801153.5049992,152085149.306702
2004,983112.932221822,9762505.77725675,41473.4592996413,13569817.9897143,17867937.8997461,11323437.4458855,194559793.316759,13232508.6716636,3469144.97724181,5457883.36166135,89403067.5089185,21636964.7200978,646.2307484564,16289186.3680117,19083843.0163707,51560142.1278941,10551678.7124449,3002191.33064051,3034532.20120212,436035430.035353,47481176.8488672,196999097.676934
2005,1266133.54214836,6896552.39332642,23706.4274836801,19765459.4250088,16642924.5654868,6578737.66129228,174469568.60086,9319680.30954317,4309899.38249458,4134620.67751248,59349511.5534027,10301179.6846785,22361.9667168008,31856214.1005207,19928357.9445495,35041146.510139,10880300.9057354,2084464.7714356,2004759.90758756,550699856.666503,15772010.9371738,125907926.104065
2006,1304706.15163703,9032565.40767015,20708.2780390852,40707342.0499715,18695670.1752263,8072928.52747381,149922790.160465,12229314.404096,4547355.47820743,7723388.85586463,55442119.8967824,11823506.0639207,1335.5911544483,21285091.1466162,20078474.7398815,45199848.8537858,6730393.48454586,2772057.25045589,8359185.89397201,694382014.5042,14424278.2731767,162061156.677887
2007,1292867.54534801,6926176.67803001,68790.7254594407,25800814.1872025,19846595.2660649,13253307.7905783,164028287.698291,9463862.18447092,4759312.40111751,10803003.9382109,74647777.8323565,21673423.6543761,5802.8030105726,11811982.7413268,17492190.3753438,42471374.9580481,11688025.6204857,1723170.92665462,6830437.38870043,667672906.973357,25588870.9614134,156033119.869309
2008,1979395.99096564,10467431.6532678,86486.1504907299,19151464.3677925,22282083.7189239,14154911.8345987,194656439.763028,4041892.09145279,4619843.48730144,7422602.89538479,41725317.5868957,19295805.7429326,27736.5811203123,23242360.9258276,14817695.7401734,30704189.9410992,12583236.3529272,2526985.99664304,4959508.75303106,457418046.299147,14413705.816764,97117253.2397443
2009,6897628.36436693,11861514.8021922,142832.920223708,21940251.9837258,21912001.6147539,15647506.772529,188625075.612535,2024876.67597126,13259516.2378027,7827629.08811555,57743838.2750661,17527965.8353578,19485.4764439866,29187065.9610406,16715552.3598205,24104996.7874202,10827863.9627919,4097514.10264994,21123920.1799356,383183796.63876,28150915.8878299,117432292.317509
2010,1950849.47976885,13775075.2304178,91788.2398833117,23203003.608299,20315416.6829286,33460806.0174579,159435777.396639,2361132.76377257,8782516.3589855,8375760.29972104,59281033.2627436,11638353.8783365,21799.5540772268,14650216.5993577,10885880.4479684,24135106.4976452,15030592.7702766,4411708.67429733,11345361.1410388,400068943.108055,11341719.2140978,96667942.4489531
2011,1529907.5675898,17868214.8457468,156992.743561633,17311154.1783529,27489961.4387376,27110872.2196533,163789731.870095,2924682.73047951,8304952.33549976,4462057.15819672,53975342.463793,10312968.6516212,7857.3614394408,20966572.7224433,26606667.4058894,26073681.3495218,14939179.57324,2574303.36632341,8489721.34665873,437274840.441708,9942810.48285375,81013121.7691515
2012,3726142.79472922,17967980.4515735,165798.002561654,48304879.8755916,15611265.8301824,47004237.911715,165751723.531577,2830330.17933826,9945782.50197274,6094390.69884088,75328865.5845482,7039506.00560232,18456.8386260292,13872865.1449051,14345052.6967308,29524017.4077454,12628049.6858198,2893998.60123087,6668732.21026575,824077499.165383,29613857.673963,89529499.9240613
2013,6415774.59364597,18572537.0788941,233502.296612367,30923009.1040778,8098920.08995506,39456330.1805695,142311973.318203,2072017.54709892,8587364.93542196,3302908.55112485,141741774.634376,8015545.2017667,19890.2908272946,10790852.5891952,15884725.5181611,19680831.7265824,5801064.81535365,1242244.03621337,2141346.90266602,504129778.691645,37874191.8758769,58254808.5902603
